ID,jaccard_fl,jaccard_flash,tarantula_fl,tarantula_flash,ochiai_fl,ochiai_flash,dstar_fl,dstar_flash
chart1,0.91573926868,0.538950715421,0.91573926868,0.538950715421,0.91573926868,0.538950715421,0.91573926868,0.538950715421
chart2,0.895061728395,0.376543209877,0.901234567901,0.382716049383,0.895061728395,0.376543209877,0.895061728395,0.376543209877
chart3,0.923076923077,0.314685314685,0.923076923077,0.314685314685,0.923076923077,0.314685314685,0.923076923077,0.314685314685
chart4,0.93589202868,0.467735132855,0.935470265711,0.477435681147,0.931252636019,0.464782792071,0.932096161957,0.467313369886
chart5,0.745098039216,0.117647058824,0.745098039216,0.117647058824,0.745098039216,0.117647058824,0.745098039216,0.117647058824
chart6,0.803149606299,0.141732283465,0.803149606299,0.141732283465,0.803149606299,0.141732283465,0.803149606299,0.141732283465
chart7,0.943089430894,0.512195121951,0.943089430894,0.512195121951,0.943089430894,0.512195121951,0.943089430894,0.512195121951
chart8,0.9375,0.395833333333,0.9375,0.395833333333,0.9375,0.395833333333,0.9375,0.395833333333
chart9,0.90206185567,0.309278350515,0.90206185567,0.309278350515,0.90206185567,0.309278350515,0.90206185567,0.309278350515
chart10,0.666666666667,0.0,0.666666666667,0.0,0.666666666667,0.0,0.666666666667,0.0
chart11,0.9,0.0,0.9,0.0,0.9,0.0,0.9,0.0
chart12,0.958878504673,0.614953271028,0.958878504673,0.614953271028,0.958878504673,0.614953271028,0.958878504673,0.614953271028
chart13,0.943181818182,0.416666666667,0.943181818182,0.416666666667,0.943181818182,0.416666666667,0.943181818182,0.416666666667
chart14,0.940269749518,0.581888246628,0.942196531792,0.583815028902,0.940269749518,0.581888246628,0.942196531792,0.585741811175
chart15,0.966964285714,0.53125,0.966964285714,0.53125,0.966964285714,0.53125,0.966964285714,0.53125
chart16,0.829787234043,0.212765957447,0.851063829787,0.212765957447,0.851063829787,0.234042553191,0.829787234043,0.212765957447
chart17,0.878787878788,0.333333333333,0.878787878788,0.333333333333,0.878787878788,0.333333333333,0.878787878788,0.333333333333
chart18,0.757894736842,0.0842105263158,0.8,0.105263157895,0.757894736842,0.0842105263158,0.768421052632,0.0842105263158
chart19,0.936899862826,0.552812071331,0.936899862826,0.552812071331,0.936899862826,0.552812071331,0.938271604938,0.552812071331
chart20,0.87012987013,0.597402597403,0.87012987013,0.597402597403,0.87012987013,0.597402597403,0.87012987013,0.597402597403
chart21,0.931297709924,0.320610687023,0.931297709924,0.320610687023,0.931297709924,0.320610687023,0.931297709924,0.320610687023
chart22,0.854700854701,0.17094017094,0.863247863248,0.188034188034,0.846153846154,0.162393162393,0.846153846154,0.162393162393
chart23,0.978494623656,0.73476702509,0.982078853047,0.73476702509,0.978494623656,0.73476702509,0.978494623656,0.73476702509
chart24,0.727272727273,0.0909090909091,0.727272727273,0.0909090909091,0.727272727273,0.0909090909091,0.727272727273,0.0909090909091
chart25,0.998216409037,0.769322235434,0.998810939358,0.770511296076,0.998216409037,0.769322235434,0.998216409037,0.769322235434
chart26,0.955782312925,0.441102756892,0.957393483709,0.455782312925,0.952738990333,0.4380594343,0.950948800573,0.43179377014
closure1,0.964267263647,0.492422937834,0.963406233856,0.493111761667,0.954623729981,0.481229550542,0.954451524023,0.479938005855
closure2,0.884226884227,0.466977466977,0.886816886817,0.469308469308,0.884226884227,0.466977466977,0.884226884227,0.466977466977
closure3,0.946027633851,0.512521588946,0.947538860104,0.515328151986,0.944948186528,0.511873920553,0.945379965458,0.512521588946
closure4,0.821244019139,0.366124401914,0.823540669856,0.367081339713,0.821626794258,0.365933014354,0.822392344498,0.365741626794
closure5,0.947632311978,0.529247910864,0.950139275766,0.53147632312,0.948467966574,0.529805013928,0.947632311978,0.529247910864
closure6,0.838571694253,0.366003347592,0.839873535429,0.366747256835,0.835968011903,0.363585642552,0.83541007997,0.363771619862
closure7,0.904170363798,0.571872227152,0.905501330967,0.573646850044,0.902839396628,0.570984915705,0.903283052351,0.571428571429
closure8,0.956095913543,0.581560283688,0.957784532253,0.58358662614,0.957109084769,0.582573454914,0.956095913543,0.581560283688
closure9,0.885714285714,0.542857142857,0.885714285714,0.542857142857,0.885714285714,0.542857142857,0.885714285714,0.542857142857
closure10,0.884349258649,0.476771004942,0.886985172982,0.479077429984,0.884019769357,0.476441515651,0.884019769357,0.476441515651
closure11,0.839460784314,0.377859477124,0.84068627451,0.379697712418,0.838439542484,0.377246732026,0.837826797386,0.377246732026
closure12,0.945809565599,0.508995173322,0.948003510312,0.511189118034,0.946906537955,0.509433962264,0.945809565599,0.508995173322
closure13,0.949619071025,0.464979110347,0.952936839518,0.467436716638,0.951339395429,0.465716392234,0.949619071025,0.464979110347
closure14,0.875075803517,0.424903982211,0.875682231656,0.426521123913,0.872650090964,0.424297554073,0.872650090964,0.423893268648
closure15,0.948275862069,0.530354541039,0.95094706168,0.533025740651,0.949004371054,0.530597377368,0.948275862069,0.530354541039
closure16,0.955057687148,0.502012342367,0.955594311779,0.502817279313,0.950630533942,0.503488060102,0.951033002415,0.498121813791
closure17,0.842803405266,0.366858047911,0.844783211245,0.368639873292,0.842803405266,0.366858047911,0.842803405266,0.366858047911
closure18,0.869536996971,0.439203807875,0.873431414972,0.442016443098,0.869753353527,0.439203807875,0.869536996971,0.439203807875
closure19,0.871217998448,0.444013447117,0.873545384019,0.44608223429,0.871217998448,0.444013447117,0.871217998448,0.444013447117
closure20,0.94972826087,0.564538043478,0.951766304348,0.566576086957,0.950067934783,0.564538043478,0.94972826087,0.564538043478
