Line,BeforeContext,DefaultContext,AfterContext,jaccard,tarantula,ochiai,dstar
org.apache.commons.lang.Entities#155,-1,-1,-1,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#374,416,1176,1178,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#375,1178,3290,1916,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#376,1916,1915,95,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#380,416,1176,1178,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#381,1178,3290,1916,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#382,1916,1915,95,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#386,416,1133,1135,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#387,1135,1134,386,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#388,-1,-1,-1,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#399,208,1928,1930,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#400,1930,3503,487,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#401,487,482,95,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#402,-1,-1,-1,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#43,-1,-1,-1,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#440,-1,-1,-1,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#441,-1,-1,-1,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#443,-1,-1,-1,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#449,208,207,209,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#45,-1,-1,-1,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#450,209,206,95,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#451,-1,-1,-1,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#457,15,14,16,0.0909,0.8413,0.3015,0.1000
org.apache.commons.lang.Entities#51,-1,-1,-1,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#524,-1,-1,-1,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#527,-1,-1,-1,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#533,99,100,102,0.1111,0.8689,0.3333,0.1250
org.apache.commons.lang.Entities#536,102,101,103,0.3333,0.9636,0.5774,0.5000
org.apache.commons.lang.Entities#55,-1,-1,-1,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#726,-1,-1,-1,0.0227,0.5521,0.1508,0.0233
org.apache.commons.lang.Entities#737,127,121,123,0.0227,0.5521,0.1508,0.0233
