Line,BeforeContext,DefaultContext,AfterContext,jaccard,tarantula,ochiai,dstar
org.mockito.internal.configuration.GlobalConfiguration#39,559,557,204,0.0009,0.5009,0.0306,0.0009
org.mockito.internal.configuration.GlobalConfiguration#40,15,14,16,0.0009,0.5009,0.0306,0.0009
org.mockito.internal.configuration.GlobalConfiguration#47,14060,14059,14061,0.0009,0.5038,0.0307,0.0009
org.mockito.internal.configuration.GlobalConfiguration#48,-1,-1,-1,0.0009,0.5038,0.0307,0.0009
org.mockito.internal.configuration.GlobalConfiguration#59,15,14,16,0.0023,0.7136,0.0481,0.0023
org.mockito.internal.configuration.GlobalConfiguration#63,15,14,16,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.AbstractMockitoMethodProxy#7,-1,-1,-1,0.0015,0.6158,0.0386,0.0015
org.mockito.internal.creation.AcrossJVMSerializationFeature#165,135,134,136,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.AcrossJVMSerializationFeature#170,-1,-1,-1,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.AcrossJVMSerializationFeature#420,-1,-1,-1,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.AcrossJVMSerializationFeature#56,-1,-1,-1,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.AcrossJVMSerializationFeature#59,-1,-1,-1,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.AcrossJVMSerializationFeature#60,-1,-1,-1,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.AcrossJVMSerializationFeature#63,15,14,16,0.0015,0.6162,0.0386,0.0015
org.mockito.internal.creation.CglibMockMaker#19,-1,-1,-1,0.0009,0.5009,0.0306,0.0009
org.mockito.internal.creation.CglibMockMaker#22,90,353,354,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.CglibMockMaker#23,354,352,186,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.CglibMockMaker#24,186,185,88,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.CglibMockMaker#29,99,100,102,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.CglibMockMaker#33,102,101,103,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.CglibMockMaker#41,41,161,162,0.0011,0.5482,0.0336,0.0011
org.mockito.internal.creation.CglibMockMaker#44,162,421,422,0.0017,0.6408,0.0407,0.0017
org.mockito.internal.creation.CglibMockMaker#45,422,409,423,0.0017,0.6408,0.0407,0.0017
