Line,BeforeContext,DefaultContext,AfterContext,jaccard,tarantula,ochiai,dstar
org.mockito.internal.util.Checks#14,99,100,102,0.0217,0.5000,0.1474,0.0222
org.mockito.internal.util.Checks#17,102,101,103,0.0217,0.5000,0.1474,0.0222
org.mockito.internal.util.reflection.GenericMetadataSupport#105,99,100,102,0.0455,0.6818,0.2132,0.0476
org.mockito.internal.util.reflection.GenericMetadataSupport#108,102,101,103,0.0455,0.6818,0.2132,0.0476
org.mockito.internal.util.reflection.GenericMetadataSupport#182,49,111,112,0.0455,0.6818,0.2132,0.0476
org.mockito.internal.util.reflection.GenericMetadataSupport#183,112,110,114,0.0455,0.6818,0.2132,0.0476
org.mockito.internal.util.reflection.GenericMetadataSupport#184,189,188,190,0.1111,0.8491,0.3333,0.1250
org.mockito.internal.util.reflection.GenericMetadataSupport#200,49,48,51,0.0250,0.5357,0.1581,0.0256
org.mockito.internal.util.reflection.GenericMetadataSupport#203,51,3129,723,0.0250,0.5357,0.1581,0.0256
org.mockito.internal.util.reflection.GenericMetadataSupport#206,723,10923,8124,0.0500,0.7031,0.2236,0.0526
org.mockito.internal.util.reflection.GenericMetadataSupport#209,8124,8123,3299,0.0769,0.7895,0.2774,0.0833
org.mockito.internal.util.reflection.GenericMetadataSupport#229,325,324,327,0.0227,0.5114,0.1508,0.0233
org.mockito.internal.util.reflection.GenericMetadataSupport#230,327,8362,8366,0.0227,0.5114,0.1508,0.0233
org.mockito.internal.util.reflection.GenericMetadataSupport#231,15,14,16,0.0233,0.5172,0.1525,0.0238
org.mockito.internal.util.reflection.GenericMetadataSupport#254,-1,-1,-1,0.0233,0.5172,0.1525,0.0238
org.mockito.internal.util.reflection.GenericMetadataSupport#255,1949,1948,1950,0.0233,0.5172,0.1525,0.0238
org.mockito.internal.util.reflection.GenericMetadataSupport#257,1950,1936,1215,0.0233,0.5172,0.1525,0.0238
org.mockito.internal.util.reflection.GenericMetadataSupport#258,-1,-1,-1,0.0233,0.5172,0.1525,0.0238
org.mockito.internal.util.reflection.GenericMetadataSupport#259,-1,-1,-1,0.0233,0.5172,0.1525,0.0238
org.mockito.internal.util.reflection.GenericMetadataSupport#261,128,120,122,0.0233,0.5172,0.1525,0.0238
org.mockito.internal.util.reflection.GenericMetadataSupport#263,-1,-1,-1,0.0233,0.5172,0.1525,0.0238
org.mockito.internal.util.reflection.GenericMetadataSupport#266,49,111,112,0.0233,0.5172,0.1525,0.0238
org.mockito.internal.util.reflection.GenericMetadataSupport#267,112,110,114,0.0233,0.5172,0.1525,0.0238
org.mockito.internal.util.reflection.GenericMetadataSupport#271,114,113,103,0.0233,0.5172,0.1525,0.0238
org.mockito.internal.util.reflection.GenericMetadataSupport#275,208,11470,11472,0.0233,0.5172,0.1525,0.0238
org.mockito.internal.util.reflection.GenericMetadataSupport#276,11472,14092,2422,0.0233,0.5172,0.1525,0.0238
org.mockito.internal.util.reflection.GenericMetadataSupport#277,2422,2421,742,0.0233,0.5172,0.1525,0.0238
org.mockito.internal.util.reflection.GenericMetadataSupport#280,-1,-1,-1,0.0233,0.5172,0.1525,0.0238
org.mockito.internal.util.reflection.GenericMetadataSupport#362,-1,-1,-1,0.0769,0.7895,0.2774,0.0833
org.mockito.internal.util.reflection.GenericMetadataSupport#363,20,19,22,0.0769,0.7895,0.2774,0.0833
org.mockito.internal.util.reflection.GenericMetadataSupport#364,22,3725,383,0.0769,0.7895,0.2774,0.0833
org.mockito.internal.util.reflection.GenericMetadataSupport#365,383,1887,1889,0.0769,0.7895,0.2774,0.0833
org.mockito.internal.util.reflection.GenericMetadataSupport#367,1889,1914,1916,0.0769,0.7895,0.2774,0.0833
org.mockito.internal.util.reflection.GenericMetadataSupport#372,128,120,122,0.0769,0.7895,0.2774,0.0833
org.mockito.internal.util.reflection.GenericMetadataSupport#373,-1,-1,-1,0.0769,0.7895,0.2774,0.0833
org.mockito.internal.util.reflection.GenericMetadataSupport#376,9021,9019,9023,0.0769,0.7895,0.2774,0.0833
org.mockito.internal.util.reflection.GenericMetadataSupport#377,128,120,122,0.0769,0.7895,0.2774,0.0833
org.mockito.internal.util.reflection.GenericMetadataSupport#519,-1,-1,-1,0.0455,0.6818,0.2132,0.0476
org.mockito.internal.util.reflection.GenericMetadataSupport#520,115,116,117,0.0455,0.6818,0.2132,0.0476
org.mockito.internal.util.reflection.GenericMetadataSupport#521,-1,-1,-1,0.0455,0.6818,0.2132,0.0476
org.mockito.internal.util.reflection.GenericMetadataSupport#56,-1,-1,-1,0.0227,0.5114,0.1508,0.0233
org.mockito.internal.util.reflection.GenericMetadataSupport#575,-1,-1,-1,0.0227,0.5114,0.1508,0.0233
org.mockito.internal.util.reflection.GenericMetadataSupport#63,-1,-1,-1,0.0227,0.5114,0.1508,0.0233
org.mockito.internal.util.reflection.GenericMetadataSupport#67,41,161,162,0.0227,0.5114,0.1508,0.0233
org.mockito.internal.util.reflection.GenericMetadataSupport#68,15,14,16,0.0227,0.5114,0.1508,0.0233
org.mockito.internal.util.reflection.GenericMetadataSupport#70,162,630,285,0.0400,0.6522,0.2000,0.0417
org.mockito.internal.util.reflection.GenericMetadataSupport#71,285,1724,663,0.0400,0.6522,0.2000,0.0417
org.mockito.internal.util.reflection.GenericMetadataSupport#72,663,2718,2719,0.0400,0.6522,0.2000,0.0417
org.mockito.internal.util.reflection.GenericMetadataSupport#73,2719,2717,755,0.0400,0.6522,0.2000,0.0417
org.mockito.internal.util.reflection.GenericMetadataSupport#74,55,342,344,0.0400,0.6522,0.2000,0.0417
org.mockito.internal.util.reflection.GenericMetadataSupport#75,344,558,559,0.0400,0.6522,0.2000,0.0417
org.mockito.internal.util.reflection.GenericMetadataSupport#77,559,557,204,0.0400,0.6522,0.2000,0.0417
org.mockito.internal.util.reflection.GenericMetadataSupport#80,128,120,122,0.0400,0.6522,0.2000,0.0417
org.mockito.internal.util.reflection.GenericMetadataSupport#84,-1,-1,-1,0.0400,0.6522,0.2000,0.0417
org.mockito.internal.util.reflection.GenericMetadataSupport#87,198,199,200,0.0233,0.5172,0.1525,0.0238
org.mockito.internal.util.reflection.GenericMetadataSupport#88,128,120,122,0.0417,0.6618,0.2041,0.0435
org.mockito.internal.util.reflection.GenericMetadataSupport#90,-1,-1,-1,0.0233,0.5172,0.1525,0.0238
org.mockito.internal.util.reflection.GenericMetadataSupport#93,135,134,136,0.0417,0.6618,0.2041,0.0435
org.mockito.internal.util.reflection.GenericMetadataSupport#94,128,120,122,0.0455,0.6818,0.2132,0.0476
org.mockito.internal.util.reflection.GenericMetadataSupport#97,-1,-1,-1,0.0417,0.6618,0.2041,0.0435
