Line,BeforeContext,DefaultContext,AfterContext,jaccard,tarantula,ochiai,dstar
org.apache.commons.math.ConvergingAlgorithmImpl#61,-1,-1,-1,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.ConvergingAlgorithmImpl#62,20,19,22,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.ConvergingAlgorithmImpl#63,22,21,24,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.ConvergingAlgorithmImpl#64,24,508,24,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.ConvergingAlgorithmImpl#65,24,508,24,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.ConvergingAlgorithmImpl#66,24,508,24,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.ConvergingAlgorithmImpl#67,24,1151,98,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.ConvergingAlgorithmImpl#68,98,97,13,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.ConvergingAlgorithmImpl#69,-1,-1,-1,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.ConvergingAlgorithmImpl#78,115,116,117,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.ConvergingAlgorithmImpl#79,-1,-1,-1,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.ConvergingAlgorithmImpl#93,115,116,117,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.ConvergingAlgorithmImpl#94,-1,-1,-1,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.BrentSolver#199,208,561,563,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.BrentSolver#200,563,2005,1369,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.BrentSolver#202,1369,1362,1315,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.BrentSolver#204,1315,1314,633,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.BrentSolver#205,633,634,635,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.BrentSolver#208,635,1144,423,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.BrentSolver#209,423,406,114,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.BrentSolver#222,-1,-1,11098,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.BrentSolver#224,115,116,117,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.BrentSolver#234,114,113,103,0.0225,0.5628,0.1499,0.0460
org.apache.commons.math.analysis.solvers.BrentSolver#260,55,951,953,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.BrentSolver#261,953,1422,782,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.BrentSolver#263,782,-1,-1,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.BrentSolver#264,-1,-1,13453,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.BrentSolver#265,76,173,175,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.BrentSolver#267,20,19,22,0.0230,0.5685,0.1516,0.0471
org.apache.commons.math.analysis.solvers.BrentSolver#268,22,21,24,0.0230,0.5685,0.1516,0.0471
org.apache.commons.math.analysis.solvers.BrentSolver#269,24,508,24,0.0230,0.5685,0.1516,0.0471
org.apache.commons.math.analysis.solvers.BrentSolver#270,24,508,24,0.0230,0.5685,0.1516,0.0471
org.apache.commons.math.analysis.solvers.BrentSolver#271,24,1151,98,0.0230,0.5685,0.1516,0.0471
org.apache.commons.math.analysis.solvers.BrentSolver#272,98,97,13,0.0230,0.5685,0.1516,0.0471
org.apache.commons.math.analysis.solvers.BrentSolver#274,175,281,283,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.BrentSolver#281,283,623,422,0.0227,0.5657,0.1508,0.0465
org.apache.commons.math.analysis.solvers.BrentSolver#282,422,1009,536,0.0227,0.5657,0.1508,0.0465
org.apache.commons.math.analysis.solvers.BrentSolver#284,536,1045,1046,0.0227,0.5657,0.1508,0.0465
org.apache.commons.math.analysis.solvers.BrentSolver#285,85,70,87,0.0308,0.6400,0.1754,0.0635
org.apache.commons.math.analysis.solvers.BrentSolver#286,87,86,88,0.0308,0.6400,0.1754,0.0635
org.apache.commons.math.analysis.solvers.BrentSolver#288,1046,2665,79,0.0227,0.5657,0.1508,0.0465
org.apache.commons.math.analysis.solvers.BrentSolver#294,55,951,953,0.0227,0.5657,0.1508,0.0465
org.apache.commons.math.analysis.solvers.BrentSolver#300,536,721,723,0.0227,0.5657,0.1508,0.0465
org.apache.commons.math.analysis.solvers.BrentSolver#302,20,848,849,0.0227,0.5657,0.1508,0.0465
org.apache.commons.math.analysis.solvers.BrentSolver#303,849,833,13,0.0227,0.5657,0.1508,0.0465
org.apache.commons.math.analysis.solvers.BrentSolver#311,723,2992,1359,0.0227,0.5657,0.1508,0.0465
org.apache.commons.math.analysis.solvers.BrentSolver#312,115,116,117,0.0290,0.6257,0.1703,0.0597
org.apache.commons.math.analysis.solvers.BrentSolver#314,115,116,117,0.0308,0.6400,0.1754,0.0635
org.apache.commons.math.analysis.solvers.BrentSolver#316,1359,1357,53,0.0227,0.5657,0.1508,0.0465
org.apache.commons.math.analysis.solvers.BrentSolver#324,20,848,849,0.0227,0.5657,0.1508,0.0465
org.apache.commons.math.analysis.solvers.BrentSolver#325,849,833,13,0.0227,0.5657,0.1508,0.0465
org.apache.commons.math.analysis.solvers.BrentSolver#329,79,2662,2638,0.0227,0.5657,0.1508,0.0465
org.apache.commons.math.analysis.solvers.BrentSolver#330,2638,4076,2595,0.0227,0.5657,0.1508,0.0465
org.apache.commons.math.analysis.solvers.BrentSolver#332,2595,5661,2869,0.0227,0.5657,0.1508,0.0465
org.apache.commons.math.analysis.solvers.BrentSolver#334,-1,-1,11098,0.0308,0.6400,0.1754,0.0635
org.apache.commons.math.analysis.solvers.BrentSolver#335,115,116,117,0.1250,0.8889,0.3536,0.2857
org.apache.commons.math.analysis.solvers.BrentSolver#336,-1,-1,11098,0.0333,0.6588,0.1826,0.0690
org.apache.commons.math.analysis.solvers.BrentSolver#337,115,116,117,0.0333,0.6588,0.1826,0.0690
org.apache.commons.math.analysis.solvers.BrentSolver#339,2869,-1,5114,0.0227,0.5657,0.1508,0.0465
org.apache.commons.math.analysis.solvers.BrentSolver#340,5114,7328,7329,0.0227,0.5657,0.1508,0.0465
org.apache.commons.math.analysis.solvers.BrentSolver#341,20,19,22,0.0267,0.6054,0.1633,0.0548
org.apache.commons.math.analysis.solvers.BrentSolver#342,22,21,24,0.0267,0.6054,0.1633,0.0548
org.apache.commons.math.analysis.solvers.BrentSolver#343,24,1151,98,0.0267,0.6054,0.1633,0.0548
org.apache.commons.math.analysis.solvers.BrentSolver#344,98,97,13,0.0267,0.6054,0.1633,0.0548
org.apache.commons.math.analysis.solvers.BrentSolver#346,7329,7326,2609,0.0227,0.5657,0.1508,0.0465
org.apache.commons.math.analysis.solvers.BrentSolver#347,-1,-1,-1,0.0227,0.5657,0.1508,0.0465
org.apache.commons.math.analysis.solvers.BrentSolver#72,65,64,66,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.BrentSolver#73,-1,-1,-1,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl#141,20,19,22,0.0225,0.5628,0.1499,0.0460
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl#142,22,96,98,0.0225,0.5628,0.1499,0.0460
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl#143,98,97,13,0.0225,0.5628,0.1499,0.0460
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl#144,-1,-1,-1,0.0225,0.5628,0.1499,0.0460
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl#165,20,848,849,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl#166,849,833,13,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl#167,-1,-1,-1,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl#208,135,134,136,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl#213,-1,-1,-1,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl#41,-1,-1,-1,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl#93,106,105,104,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl#94,104,107,109,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl#95,109,108,13,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl#96,-1,-1,-1,0.0222,0.5600,0.1491,0.0455
org.apache.commons.math.ode.AbstractIntegrator#123,2539,2538,2540,0.0202,0.5359,0.1421,0.0412
org.apache.commons.math.ode.AbstractIntegrator#128,2540,2532,168,0.0741,0.8175,0.2722,0.1600
org.apache.commons.math.ode.AbstractIntegrator#143,115,116,117,0.0175,0.5000,0.1325,0.0357
org.apache.commons.math.ode.AbstractIntegrator#144,-1,-1,-1,0.0175,0.5000,0.1325,0.0357
org.apache.commons.math.ode.AbstractIntegrator#159,115,116,117,0.0175,0.5000,0.1325,0.0357
org.apache.commons.math.ode.AbstractIntegrator#160,-1,-1,-1,0.0175,0.5000,0.1325,0.0357
org.apache.commons.math.ode.AbstractIntegrator#167,115,116,117,0.0202,0.5359,0.1421,0.0412
org.apache.commons.math.ode.AbstractIntegrator#168,-1,-1,-1,0.0202,0.5359,0.1421,0.0412
org.apache.commons.math.ode.AbstractIntegrator#179,238,492,486,0.0202,0.5359,0.1421,0.0412
org.apache.commons.math.ode.AbstractIntegrator#182,486,481,493,0.0202,0.5359,0.1421,0.0412
org.apache.commons.math.ode.AbstractIntegrator#183,-1,-1,-1,0.0204,0.5385,0.1429,0.0417
org.apache.commons.math.ode.AbstractIntegrator#198,76,596,598,0.0182,0.5091,0.1348,0.0370
org.apache.commons.math.ode.AbstractIntegrator#205,598,1358,1359,0.0196,0.5283,0.1400,0.0400
org.apache.commons.math.ode.AbstractIntegrator#212,1359,1357,53,0.0196,0.5283,0.1400,0.0400
org.apache.commons.math.ode.AbstractIntegrator#218,-1,-1,-1,0.0200,0.5333,0.1414,0.0408
org.apache.commons.math.ode.AbstractIntegrator#233,129,5717,5719,0.0202,0.5359,0.1421,0.0412
org.apache.commons.math.ode.AbstractIntegrator#234,5719,10724,2541,0.0202,0.5359,0.1421,0.0412
org.apache.commons.math.ode.AbstractIntegrator#240,2541,2527,2543,0.0202,0.5359,0.1421,0.0412
org.apache.commons.math.ode.AbstractIntegrator#244,2543,2542,88,0.0202,0.5359,0.1421,0.0412
org.apache.commons.math.ode.AbstractIntegrator#256,-1,-1,-1,0.0202,0.5359,0.1421,0.0412
org.apache.commons.math.ode.AbstractIntegrator#257,115,116,117,0.0202,0.5359,0.1421,0.0412
org.apache.commons.math.ode.AbstractIntegrator#258,-1,-1,-1,0.0202,0.5359,0.1421,0.0412
org.apache.commons.math.ode.AbstractIntegrator#262,15,14,16,0.0235,0.5744,0.1534,0.0482
org.apache.commons.math.ode.AbstractIntegrator#267,15,14,16,0.0215,0.5517,0.1466,0.0440
org.apache.commons.math.ode.AbstractIntegrator#64,-1,-1,-1,0.0175,0.5000,0.1325,0.0357
org.apache.commons.math.ode.AbstractIntegrator#65,20,19,22,0.0175,0.5000,0.1325,0.0357
org.apache.commons.math.ode.AbstractIntegrator#66,22,21,24,0.0175,0.5000,0.1325,0.0357
org.apache.commons.math.ode.AbstractIntegrator#67,24,508,24,0.0175,0.5000,0.1325,0.0357
org.apache.commons.math.ode.AbstractIntegrator#68,24,381,383,0.0175,0.5000,0.1325,0.0357
