Line,BeforeContext,DefaultContext,AfterContext,jaccard,tarantula,ochiai,dstar
org.mockito.ArgumentMatcher#57,-1,-1,-1,0.0056,0.6298,0.0745,0.0112
org.mockito.Matchers#221,15,14,16,0.1667,0.9870,0.3162,0.2000
org.mockito.Matchers#717,15,14,16,0.0076,0.7008,0.0618,0.0076
org.mockito.Matchers#95,-1,-1,-1,0.0033,0.5008,0.0573,0.0066
org.mockito.Mockito#1558,15,14,16,0.0033,0.5033,0.0576,0.0067
org.mockito.Mockito#621,-1,-1,-1,0.0033,0.5008,0.0573,0.0066
org.mockito.Mockito#632,-1,-1,-1,0.0033,0.5008,0.0573,0.0066
org.mockito.Mockito#664,-1,-1,-1,0.0033,0.5008,0.0573,0.0066
org.mockito.Mockito#677,-1,-1,-1,0.0033,0.5008,0.0573,0.0066
org.mockito.Mockito#711,-1,-1,-1,0.0033,0.5008,0.0573,0.0066
org.mockito.Mockito#722,15,14,16,0.0029,0.4681,0.0380,0.0029
org.mockito.Mockito#741,15,14,16,0.0070,0.6835,0.0839,0.0142
org.mockito.Mockito#827,15,14,16,0.0034,0.5131,0.0587,0.0069
org.mockito.Mockito#994,15,14,16,0.0069,0.6804,0.0589,0.0069
org.mockito.MockitoAnnotations#100,4311,4316,4320,0.0070,0.6835,0.0839,0.0142
org.mockito.MockitoAnnotations#102,128,120,122,0.0070,0.6835,0.0839,0.0142
org.mockito.MockitoAnnotations#106,128,120,122,0.0070,0.6835,0.0839,0.0142
org.mockito.MockitoAnnotations#107,-1,-1,-1,0.0070,0.6835,0.0839,0.0142
org.mockito.MockitoAnnotations#111,-1,-1,-1,0.0033,0.5000,0.0572,0.0066
org.mockito.MockitoAnnotations#81,41,40,43,0.0033,0.5000,0.0572,0.0066
org.mockito.MockitoAnnotations#85,43,8891,3767,0.0033,0.5000,0.0572,0.0066
org.mockito.MockitoAnnotations#86,3767,3765,1429,0.0033,0.5000,0.0572,0.0066
org.mockito.MockitoAnnotations#87,211,210,212,0.0033,0.5000,0.0572,0.0066
org.mockito.MockitoAnnotations#88,212,205,213,0.0033,0.5000,0.0572,0.0066
org.mockito.MockitoAnnotations#90,-1,-1,-1,0.0033,0.5000,0.0572,0.0066
org.mockito.MockitoAnnotations#93,55,1473,1475,0.0033,0.5000,0.0572,0.0066
org.mockito.MockitoAnnotations#94,1475,1562,1563,0.0033,0.5000,0.0572,0.0066
org.mockito.MockitoAnnotations#95,1563,1550,1561,0.0033,0.5000,0.0572,0.0066
org.mockito.MockitoAnnotations#96,198,199,200,0.0035,0.5192,0.0594,0.0071
org.mockito.MockitoAnnotations#97,49,201,203,0.0070,0.6835,0.0839,0.0142
org.mockito.MockitoAnnotations#98,203,202,204,0.0070,0.6835,0.0839,0.0142
org.mockito.MockitoAnnotations#99,90,4318,4311,0.0070,0.6835,0.0839,0.0142
org.mockito.configuration.DefaultMockitoConfiguration#20,-1,-1,-1,0.0033,0.5000,0.0572,0.0066
org.mockito.configuration.DefaultMockitoConfiguration#32,15,14,16,0.0050,0.6054,0.0708,0.0101
org.mockito.exceptions.Reporter#43,-1,-1,-1,0.0033,0.5000,0.0572,0.0066
org.mockito.internal.MockHandler#33,-1,-1,-1,0.0033,0.5041,0.0577,0.0067
org.mockito.internal.MockHandler#34,-1,-1,-1,0.0033,0.5041,0.0577,0.0067
org.mockito.internal.MockHandler#38,-1,-1,-1,0.0033,0.5041,0.0577,0.0067
org.mockito.internal.MockHandler#39,20,19,22,0.0033,0.5041,0.0577,0.0067
org.mockito.internal.MockHandler#40,22,21,24,0.0033,0.5041,0.0577,0.0067
org.mockito.internal.MockHandler#41,24,1151,98,0.0033,0.5041,0.0577,0.0067
org.mockito.internal.MockHandler#42,98,97,13,0.0033,0.5041,0.0577,0.0067
org.mockito.internal.MockHandler#43,-1,-1,-1,0.0033,0.5041,0.0577,0.0067
org.mockito.internal.MockHandler#55,41,161,162,0.0042,0.5603,0.0645,0.0084
org.mockito.internal.MockHandler#62,162,2208,547,0.0042,0.5644,0.0651,0.0085
org.mockito.internal.MockHandler#64,547,2209,2210,0.0042,0.5644,0.0651,0.0085
org.mockito.internal.MockHandler#67,2210,2207,2212,0.0043,0.5655,0.0652,0.0085
org.mockito.internal.MockHandler#69,2212,7240,4470,0.0043,0.5655,0.0652,0.0085
org.mockito.internal.MockHandler#75,4470,4450,3713,0.0044,0.5729,0.0662,0.0088
org.mockito.internal.MockHandler#76,3713,5610,566,0.0044,0.5729,0.0662,0.0088
org.mockito.internal.MockHandler#77,566,3714,2248,0.0044,0.5729,0.0662,0.0088
org.mockito.internal.MockHandler#79,2248,8072,1003,0.0044,0.5729,0.0662,0.0088
org.mockito.internal.MockHandler#80,1003,1002,52,0.0044,0.5729,0.0662,0.0088
org.mockito.internal.MockHandler#83,128,120,122,0.0053,0.6202,0.0730,0.0107
org.mockito.internal.MockHandler#86,52,39,53,0.0044,0.5734,0.0663,0.0088
org.mockito.internal.MockHandler#87,208,5172,5174,0.0067,0.6744,0.0581,0.0068
org.mockito.internal.MockHandler#91,90,353,354,0.0046,0.5867,0.0681,0.0093
org.mockito.internal.MockHandler#98,354,352,186,0.0046,0.5867,0.0681,0.0093
org.mockito.internal.MockHandler#99,186,185,88,0.0046,0.5867,0.0681,0.0093
org.mockito.internal.MockitoCore#134,55,311,313,0.0556,0.9501,0.1715,0.0588
org.mockito.internal.MockitoCore#135,313,312,288,0.0556,0.9501,0.1715,0.0588
org.mockito.internal.MockitoCore#136,288,274,179,0.0556,0.9501,0.1715,0.0588
org.mockito.internal.MockitoCore#26,-1,-1,-1,0.0033,0.5008,0.0573,0.0066
org.mockito.internal.MockitoCore#28,-1,-1,-1,0.0033,0.5008,0.0573,0.0066
org.mockito.internal.MockitoCore#29,-1,-1,-1,0.0033,0.5008,0.0573,0.0066
org.mockito.internal.MockitoCore#30,-1,-1,-1,0.0033,0.5008,0.0573,0.0066
org.mockito.internal.MockitoCore#33,85,70,87,0.0033,0.5037,0.0576,0.0067
org.mockito.internal.MockitoCore#34,87,86,88,0.0033,0.5041,0.0577,0.0067
org.mockito.internal.MockitoCore#38,49,111,112,0.0065,0.6656,0.0570,0.0065
org.mockito.internal.MockitoCore#39,112,110,114,0.0065,0.6656,0.0570,0.0065
org.mockito.internal.MockitoCore#43,114,113,103,0.0067,0.6729,0.0579,0.0067
org.mockito.internal.MockitoCore#53,85,70,87,0.0067,0.6729,0.0579,0.0067
org.mockito.internal.MockitoCore#54,87,86,88,0.0069,0.6804,0.0589,0.0069
org.mockito.internal.configuration.ClassPathLoader#10,-1,-1,-1,0.0033,0.5000,0.0572,0.0066
org.mockito.internal.configuration.ClassPathLoader#18,1058,6707,6709,0.0033,0.5000,0.0572,0.0066
org.mockito.internal.configuration.ClassPathLoader#20,115,116,117,0.0033,0.5000,0.0572,0.0066
org.mockito.internal.configuration.ClassPathLoader#24,-1,-1,-1,0.0033,0.5000,0.0572,0.0066
org.mockito.internal.configuration.ClassPathLoader#27,15,14,16,0.0033,0.5000,0.0572,0.0066
org.mockito.internal.configuration.DefaultAnnotationEngine#20,-1,-1,-1,0.0033,0.5000,0.0572,0.0066
org.mockito.internal.configuration.DefaultAnnotationEngine#27,135,134,136,0.0071,0.6843,0.0841,0.0142
org.mockito.internal.configuration.DefaultAnnotationEngine#28,15,14,16,0.0071,0.6843,0.0841,0.0142
org.mockito.internal.configuration.GlobalConfiguration#19,-1,-1,-1,0.0033,0.5000,0.0572,0.0066
org.mockito.internal.configuration.GlobalConfiguration#23,15,14,16,0.0033,0.5000,0.0572,0.0066
org.mockito.internal.configuration.GlobalConfiguration#26,-1,-1,-1,0.0033,0.5000,0.0572,0.0066
org.mockito.internal.configuration.GlobalConfiguration#28,135,134,136,0.0033,0.5000,0.0572,0.0066
org.mockito.internal.configuration.GlobalConfiguration#29,128,120,122,0.0033,0.5000,0.0572,0.0066
org.mockito.internal.configuration.GlobalConfiguration#31,-1,-1,-1,0.0033,0.5000,0.0572,0.0066
org.mockito.internal.configuration.GlobalConfiguration#34,55,342,344,0.0033,0.5000,0.0572,0.0066
org.mockito.internal.configuration.GlobalConfiguration#35,344,558,559,0.0033,0.5000,0.0572,0.0066
org.mockito.internal.configuration.GlobalConfiguration#36,559,557,204,0.0033,0.5000,0.0572,0.0066
org.mockito.internal.configuration.GlobalConfiguration#37,15,14,16,0.0033,0.5000,0.0572,0.0066
org.mockito.internal.configuration.GlobalConfiguration#44,14060,14059,14061,0.0033,0.5000,0.0572,0.0066
org.mockito.internal.configuration.GlobalConfiguration#45,-1,-1,-1,0.0033,0.5000,0.0572,0.0066
org.mockito.internal.configuration.GlobalConfiguration#52,15,14,16,0.0033,0.5000,0.0572,0.0066
org.mockito.internal.configuration.GlobalConfiguration#60,15,14,16,0.0050,0.6048,0.0707,0.0101
org.mockito.internal.creation.AbstractMockitoMethodProxy#7,-1,-1,-1,0.0041,0.5592,0.0644,0.0083
org.mockito.internal.creation.DelegatingMethod#11,-1,-1,-1,0.0042,0.5603,0.0645,0.0084
org.mockito.internal.creation.DelegatingMethod#15,-1,-1,-1,0.0042,0.5603,0.0645,0.0084
org.mockito.internal.creation.DelegatingMethod#16,4304,16211,16210,0.0042,0.5603,0.0645,0.0084
